Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C16, C17, C19, C2, C20, C21, C22, C24, C27, C28, C3, C31, C32, C33, C4, C45, C47, C5, C9",0402,21,100nF,C1525
"C11, C12",0402,2,20pF,C1554
"C13, C14",0402,2,10pF,C32949
"C15, C41",0402,2,2.2nF,C1531
"C18, C34, C35, C36, C8",0402,5,10nF,C15195
"C23, C46, C6",0402,3,4.7uF,C307423
"C25, C26, C29, C30, C43, C44",0402,6,12pF,C1547
"C37, C7",0402,2,1uF,C52923
C38,0402,1,33nF,C106862
C39,0402,1,1.5pF,C1552
C40,0402,1,1pF,C1550
C42,0402,1,4.7nF,C1538
C48,1206,1,0.22uF,C1857
C49,1206,1,10uF,C13585
"C50, C51",1206,2,10uF,C7171
"D1, D10, D2",D_SOD-123,3,B5819W,C64885
"D11, D12, D14, D18",0603,4,VERDE,C12624
"D13, D15",0603,2,ROJO,C2286
D16,0603,1,AZUL,C2288
D3,SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,1,SRV05-4A_C20615829,C20615829
"FB1, FB2",0805,2,120R@100MHz,C79382
"INT, RATM, RSTM32",SW-SMD_L3.9-W3.0-P4.45,3,TS-1088-AR02016_C720477,C720477
J1,PinHeader_1x04_P2.54mm_Vertical,1,SWD,C2691448
J10,PinHeader_2x04_P2.54mm_Vertical,1,CONN_MANDO,C492421
J11,OLED,1,OLED,C2691448
J12,PinHeader_1x06_P2.54mm_Vertical,1,STM32 SPI,C492405
J13,PinHeader_1x04_P2.54mm_Vertical,1,STM32 I2C,C2691448
J14,PinHeader_1x04_P2.54mm_Horizontal,1,STM32 USART,C2691448
J15,PinHeader_2x03_P2.54mm_Vertical,1,ICSP,C492420
"J16, J3",MICRO-USB-SMD_MICROXNJ_1,2,USB_B_Micro,C404969
J17,SMA_142-0701-201,1,Conn_Coaxial,C496551
J2,PinHeader_1x03_P2.54mm_Vertical,1,Jumper,C2937625
J4,PinHeader_1x03_P2.54mm_Vertical,1,CONN_MOT_1,C2937625
J5,PinHeader_1x03_P2.54mm_Vertical,1,CONN_MOT_2,C2937625
J6,PinHeader_1x03_P2.54mm_Vertical,1,CONN_MOT_3,C2937625
J7,PinHeader_1x03_P2.54mm_Vertical,1,CONN_MOT_4,C2937625
J8,AMASS_XT60-M,1,XT-60,C98733
J9,PinHeader_1x06_P2.54mm_Horizontal,1,LIDAR,C492405
L1,0402,1,600R@100MHz,C76884
L2,0402,1,8.2nH,C98003
L3,0402,1,3.9nH,C14033
L4,0402,1,2.7nH,C27123
"R1, R10, R2, R21, R3, R30, R33, R35, R36",0402,9,10K,C25744
R17,0402,1,47k,C25792
R18,0402,1,15k,C25756
"R19, R20, R38, R7, R8, R9",0402,6,4.7k,C25900
R22,0402,1,330,C25104
"R23, R28, R32",0603,3,1k,C21190
"R24, R25, R5, R6",0603,4,22,C25092
"R26, R27",0402,2,1k,C11702
"R29, R31",0603,2,1.5k,C22843
R34,0603,1,470,C23179
R37,0402,1,1M,C26083
R39,0603,1,100,C25076
R4,0402,1,1.5K,C25867
SW4,SW-TH_K3-1204D,1,K3-1204D_C145861,C145861
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F103R8T6,C46034
U10,TO-220-3_Horizontal_TabDown,1,LM7805_TO220,C5189702
U11,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U2,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,C24112
U3,TQFP-32_7x7mm_P0.8mm,1,ATMEGA328P-AU,C14877
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,C14267
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358DR,C5423
U6,SOIC-20W_7.5x12.8mm_P1.27mm,1,74HC245,C10093
U7,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,nRF24L01P,C8791
U8,TF-SMD_472192001,1,MICROSD_C164170,C164170
U9,SOT-353_SC-70-5,1,74AHC1G125,C151890
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,C32346
"Y3, Y5",Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,2,16MHz,C13738
Y4,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,12MHz,C9002
