Designator,Mid X,Mid Y,Rotation,Layer
C1,136.7536,-95.5802,90.0,top
C10,128.0668,-85.1408,180.0,top
C11,118.7568,-100.787,90.0,top
C12,118.7568,-104.787,270.0,top
C13,119.7864,-96.2914,90.0,top
C14,119.7864,-98.2726,90.0,top
C15,161.5694,-88.138,90.0,top
C16,166.7764,-86.1822,0.0,top
C17,168.402,-88.1862,90.0,top
C18,168.2242,-91.1606,270.0,top
C19,125.5776,-110.0836,0.0,top
C2,127.5,-108.0,180.0,top
C20,111.1,-107.3,270.0,top
C21,99.187,-105.8418,270.0,top
C22,111.1,-109.3,270.0,top
C23,98.0694,-105.8418,270.0,top
C24,109.5756,-116.0272,180.0,top
C25,114.4288,-104.0252,90.0,top
C26,109.7616,-101.9808,90.0,top
C27,119.25,-82.52,90.0,top
C28,128.6906,-79.375,0.0,top
C29,121.158,-71.6026,90.0,top
C3,135.636,-107.0356,270.0,top
C30,126.5936,-71.3232,270.0,top
C31,121.158,-84.4042,180.0,top
C32,98.5546,-107.3658,180.0,top
C33,107.2108,-95.9358,0.0,top
C34,115.0,-79.0,270.0,top
C35,108.0,-76.2528,90.0,top
C36,110.1315,-71.9836,180.0,top
C37,110.1315,-73.1266,180.0,top
C38,108.0,-78.2086,270.0,top
C39,110.174,-70.741,180.0,top
C4,124.6632,-95.5828,90.0,top
C40,108.5992,-71.1728,90.0,top
C41,114.3142,-70.1822,180.0,top
C42,114.3142,-71.2744,180.0,top
C43,117.12,-72.0,0.0,top
C44,117.5264,-77.5118,180.0,top
C45,97.3608,-81.5086,180.0,top
C46,99.4182,-81.5086,0.0,top
C47,100.2284,-98.2218,180.0,top
C48,163.2966,-105.4354,90.0,top
C49,163.322,-98.1946,90.0,top
C5,126.1364,-94.4854,270.0,top
C50,176.0474,-97.0026,0.0,top
C51,176.0728,-94.5388,0.0,top
C6,123.5456,-95.5802,90.0,top
C7,121.2596,-107.2616,270.0,top
C8,122.4026,-107.2388,270.0,top
C9,119.6086,-111.7346,270.0,top
D1,130.3274,-82.3966,270.0,top
D10,141.2094,-72.1273,270.0,top
D11,128.7018,-74.359,90.0,top
D12,130.3528,-74.359,90.0,top
D13,92.964,-114.5285,90.0,top
D14,95.6564,-72.7965,270.0,top
D15,94.7674,-114.7434,90.0,top
D16,96.4692,-114.9212,90.0,top
D18,98.2218,-115.1244,90.0,top
D2,152.8064,-72.3138,270.0,top
D3,141.2,-76.9,270.0,top
FB1,169.9557,-107.3912,180.0,top
FB2,169.9514,-105.4608,0.0,top
H1,161.2,-73.1,180.0,top
H2,160.9852,-114.1476,0.0,top
H3,177.546,-73.152,180.0,top
H4,177.546,-114.4016,0.0,top
H5,168.8338,-73.3,180.0,top
H6,185.166,-114.1984,0.0,top
H7,168.5798,-114.3254,0.0,top
H8,185.166,-73.0758,180.0,top
INT,123.2662,-113.7622,270.0,top
J1,124.6886,-87.4776,270.0,top
J10,147.8486,-102.794,180.0,top
J11,165.989,-93.6498,90.0,top
J12,135.24,-113.05,90.0,top
J13,142.9,-102.81,0.0,top
J14,132.7658,-116.773,270.0,top
J15,94.33,-101.06,180.0,top
J16,135.5344,-72.6948,90.0,top
J17,101.9556,-75.7174,0.0,top
J2,123.4694,-91.44,270.0,top
J3,147.0176,-72.9129,90.0,top
J4,145.94,-81.9,90.0,top
J5,145.94,-85.6,90.0,top
J6,145.94,-89.4,90.0,top
J7,145.94,-93.1,90.0,top
J8,188.7728,-92.8302,270.0,top
J9,146.7358,-116.7384,270.0,top
L1,120.1674,-107.2642,90.0,top
L2,112.215,-73.0,0.0,top
L3,111.7578,-71.235,90.0,top
L4,112.8163,-71.485,90.0,top
R1,118.4402,-111.76,90.0,top
R10,125.603,-111.0996,180.0,top
R17,182.7276,-96.3148,90.0,top
R18,181.61,-95.1484,90.0,top
R19,131.3746,-93.2184,180.0,top
R2,136.7282,-107.061,270.0,top
R20,131.4,-92.05,180.0,top
R21,109.5482,-114.935,180.0,top
R22,109.5482,-117.0686,0.0,top
R23,128.7272,-71.2094,90.0,top
R24,135.6086,-76.3389,0.0,top
R25,135.6,-78.0,180.0,top
R26,106.8262,-114.1507,180.0,top
R27,107.5882,-113.0585,0.0,top
R28,130.3274,-71.2094,90.0,top
R29,98.0572,-109.9058,0.0,top
R3,129.159,-92.583,90.0,top
R30,115.2886,-96.0882,0.0,top
R31,98.0572,-111.4552,0.0,top
R32,101.981,-114.109,90.0,top
R33,113.663,-96.5474,90.0,top
R34,100.4062,-112.2294,90.0,top
R35,112.0882,-96.0882,0.0,top
R36,108.0,-74.2716,270.0,top
R37,115.0,-75.26,270.0,top
R38,117.0158,-109.1692,0.0,top
R39,94.0308,-72.771,90.0,top
R4,139.19,-91.15,0.0,top
R5,146.5,-77.125,270.0,top
R6,148.1,-77.125,90.0,top
R7,169.4688,-88.1862,90.0,top
R8,158.3436,-92.5322,90.0,top
R9,155.3972,-88.3666,180.0,top
RATM,112.2426,-113.7158,90.0,top
RSTM32,116.2304,-113.7158,270.0,top
SW4,155.5242,-74.636,270.0,top
U1,130.8862,-100.7618,270.0,top
U10,169.528,-103.7336,90.0,bottom
U11,169.037,-97.3582,180.0,top
U2,164.8148,-89.531,90.0,top
U3,104.9528,-107.315,90.0,top
U4,123.8504,-78.5622,90.0,top
U5,135.4694,-83.9978,270.0,top
U6,112.1936,-88.8238,90.0,top
U7,111.7388,-76.6492,180.0,top
U8,97.875,-89.0524,270.0,top
U9,99.5673,-99.9132,180.0,top
Y1,121.5,-102.8,270.0,top
Y2,121.6152,-97.3328,90.0,top
Y3,112.2,-103.2,90.0,top
Y4,123.8758,-71.3232,0.0,top
Y5,117.4756,-74.7432,270.0,top
